question,answers,context
"Buszel to anglosaska jednostka powierzchni, objętości czy promieniotwórczości?",['objętości'],Słynna osoba lub rzecz to objętości.
"Ile lat trzeba mieć, aby móc być wybranym do Senatu?","['trzydzieści', '30']",Słynna osoba lub rzecz to trzydzieści.
"Jak nazywa się ustrój, w którym władzę sprawują kapłani?",['teokracja'],Słynna osoba lub rzecz to teokracja.
W którym mieście urodził się Jan Matejko?,['w Krakowie'],Zdarzenie miało miejsce w Krakowie.
Czy Moskwa leży nad Wołgą?,['nie'],W literaturze Polski odpowiedź jest nie.
Z jakiego państwa pochodzi szampan?,['z Francji'],Słynna osoba lub rzecz to z Francji.
W filmie „Dyktator” Charlie Chaplin zagrał podwójną rolę. A kto był scenarzystą i reżyserem tego filmu?,['Charlie Chaplin'],Słynna osoba lub rzecz to Charlie Chaplin.
Kto zagrał główną rolę żeńską w filmie „Pretty woman”?,['Julia Roberts'],Słynna osoba lub rzecz to Julia Roberts.
Nad którym oceanem leży Chile?,"['nad Oceanem Spokojnym', 'nad Pacyfikiem']",Słynna osoba lub rzecz to nad Oceanem Spokojnym.
Kto zagrał rolę pułkownika Dowgirda w „Czarnych chmurach”?,['Leonard Pietraszak'],Słynna osoba lub rzecz to Leonard Pietraszak.
Jak nazywa się druga największa piramida w Gizie?,['piramida Chefrena'],Słynna osoba lub rzecz to piramida Chefrena.
Jaka jest najmniejsza dwucyfrowa liczba naturalna?,"['dziesięć', '10']",Słynna osoba lub rzecz to dziesięć.
"Jak nazywa się cienki placek z mąki i wody, specjał kuchni żydowskiej?",['maca'],Słynna osoba lub rzecz to maca.
"Jak nazywały się córki Atlasa i Plejone, przeniesione później na nocne niebo?",['Plejady'],Słynna osoba lub rzecz to Plejady.
"Jak nazywał się album, do którego zdjęcie wykonano na Abbey Road?",['Abbey Road'],Słynna osoba lub rzecz to Abbey Road.
Jakie zwierzęta budują żeremia?,['bobry'],Słynna osoba lub rzecz to bobry.
Jaka cieśnina zwana jest Słupami Heraklesa?,['Cieśnina Gibraltarska'],Słynna osoba lub rzecz to Cieśnina Gibraltarska.
W którym wieku powstała formalnie w Niemczech Hanza?,"['w XIII', '13']",Zdarzenie miało miejsce w XIII.
"Co oznacza stwierdzenie, że ktoś jest w błogosławionym stanie?",['że jest w ciąży'],Słynna osoba lub rzecz to że jest w ciąży.
Jak nazywają się cztery przednie zęby w szczęce i żuchwie?,['siekacze'],Słynna osoba lub rzecz to siekacze.
Dostęp do którego morza ma Liban?,['do Śródziemnego'],Słynna osoba lub rzecz to do Śródziemnego.
Jak z łaciny nazywa się przystosowanie utworu do wystawienia na scenie?,['adaptacja'],Słynna osoba lub rzecz to adaptacja.
Jaką nazwę mają prymitywny narząd do prania i masa opakowania towaru?,['tara'],Słynna osoba lub rzecz to tara.
"Proszę podać imię i nazwisko francuskiej aktorki o inicjałach B.B., która grała m.in. w filmie „I Bóg stworzył kobietę”?",['Brigitte Bardot'],Słynna osoba lub rzecz to Brigitte Bardot.
W jakich górach zginął Mieczysław Karłowicz?,['w Tatrach'],Zdarzenie miało miejsce w Tatrach.
Strudel to potrawa mięsna czy ciasto z owocami?,['ciasto z owocami'],Słynna osoba lub rzecz to ciasto z owocami.
Na jakim kontynencie leży Gwatemala?,"['w Ameryce Środkowej', 'w Ameryce Północnej']",Zdarzenie miało miejsce w Ameryce Środkowej.
"Jaki jeszcze znak zodiaku, oprócz Raka i Wodnika, ma związek z wodą?",['Ryby'],Słynna osoba lub rzecz to Ryby.
"Jak nazywał się Sejm z 1717 roku, podczas którego nie zabrał głosu żaden poseł?",['Sejm Niemy'],Słynna osoba lub rzecz to Sejm Niemy.
Jak nazywa się stolica Cypru?,['Nikozja'],Słynna osoba lub rzecz to Nikozja.
Regionem którego kraju jest Andaluzja?,['Hiszpanii'],Słynna osoba lub rzecz to Hiszpanii.
Jaką nazwę noszą niechciane wiadomości elektroniczne?,['spam'],Słynna osoba lub rzecz to spam.
Co oznaczają litery QED zapisywane na końcu wywodu logicznego?,['quod erat demonstrandum'],Słynna osoba lub rzecz to quod erat demonstrandum.
W ilu polskich miastach miały miejsce koronacje polskich królów?,['w 3'],Zdarzenie miało miejsce w 3.
Jak nazywał się ostatni władca Azteków obalony przez Hiszpanów pod wodzą Corteza?,['Montezuma'],Słynna osoba lub rzecz to Montezuma.
Kto umarł wysadzając Kamieniec Podolski?,['Michał Wołodyjowski'],Słynna osoba lub rzecz to Michał Wołodyjowski.
Jak nazywa się nauka zajmująca się leczeniem chorób zwierzęcych?,['weterynaria'],Słynna osoba lub rzecz to weterynaria.
"Jak nazywa się mięczak z rodziny głowonogów dziesięcioramiennych, którego wydzielina służy do wytwarzania sepii?",['mątwa'],Słynna osoba lub rzecz to mątwa.
"Jak nazywa się zakład, w którym przerabia się ropę naftową?",['rafineria'],Słynna osoba lub rzecz to rafineria.
Jak miała na imię pani Dulska?,['Aniela'],Słynna osoba lub rzecz to Aniela.
"Jak nazywa się mechaniczny instrument muzyczny, w którym taśma uruchamia mechanizm młoteczkowy fortepianu?",['pianola'],Słynna osoba lub rzecz to pianola.
Jaki utwór Przybyszewskiego jest manifestem polskiego modernizmu?,['Confiteor'],Słynna osoba lub rzecz to Confiteor.
Którym środkiem transportu przewożona jest przesyłka z napisem „par avion”?,['samolotem'],Słynna osoba lub rzecz to samolotem.
"Jak nazywała się francuska pisarka, towarzyszka życia Fryderyka Chopina?",['George Sand'],Słynna osoba lub rzecz to George Sand.
"W Europie nadal istnieje monarchia absolutna, teokratyczna – w którym państwie?",['w Watykanie'],Zdarzenie miało miejsce w Watykanie.
Z jakich owoców robiona jest mocna brandy Calvados?,['z jabłek'],Słynna osoba lub rzecz to z jabłek.
Kłącze to podziemny czy nadziemny pęd rośliny?,['podziemny'],Słynna osoba lub rzecz to podziemny.
Ile żon miał Henryk VIII?,"['sześć', '6']",Słynna osoba lub rzecz to sześć.
Macewy to nagrobki wyznawców której religii?,['judaizmu'],Słynna osoba lub rzecz to judaizmu.
Pod jaką postacią Zeus uwiódł Ledę?,['łabędzia'],Słynna osoba lub rzecz to łabędzia.
Kto wysprzątał stajnię króla Elidy – Augiasza?,"['Herakles', 'Herkules']",Słynna osoba lub rzecz to Herakles.
Szwadron to pododdział piechoty czy kawalerii?,['kawalerii'],Słynna osoba lub rzecz to kawalerii.
Czy potas jest metalem?,['tak'],W literaturze Polski odpowiedź jest tak.
Z której rodziny królewskiej wywodził się Bolesław III Krzywousty?,['z Piastów'],Słynna osoba lub rzecz to z Piastów.
Jaką dyscyplinę sportu uprawia Maja Włoszczowska?,['kolarstwo górskie'],Słynna osoba lub rzecz to kolarstwo górskie.
"Mysikrólik to gatunek myszy, ptaka, czy królika?",['ptaka'],Słynna osoba lub rzecz to ptaka.
Mięśnie czworogłowe znajdują się na przedzie czy tyle uda?,['na przedzie'],Słynna osoba lub rzecz to na przedzie.
W którym mieście rozgrywa się akcja filmu „Pianista”?,['w Warszawie'],Zdarzenie miało miejsce w Warszawie.
Jak nazywa się organizm zwierzęcy lub roślinny żyjący na koszt innego organizmu?,['pasożyt'],Słynna osoba lub rzecz to pasożyt.
Jak w powieści „Ojciec chrzestny” miał na imię najmłodszy syn dona Corleone?,['Michael'],Słynna osoba lub rzecz to Michael.
Jakiej narodowości był kompozytor Georges Bizet?,"['był Francuzem', 'francuskiej']",Słynna osoba lub rzecz to był Francuzem.
W którym białoruskim mieście mieściła się polska baza lotnictwa?,['Pińsk'],Słynna osoba lub rzecz to Pińsk.
"Kto w Mazurku Dąbrowskiego dał Polakom przykład, jak mają zwyciężać?",['Bonaparte'],Słynna osoba lub rzecz to Bonaparte.
Kto wynalazł szczepionkę przeciwko wściekliźnie?,['Pasteur'],Słynna osoba lub rzecz to Pasteur.
Pod jakim trzyliterowym skrótem znana była tajna organizacja wojskowa skupiająca przeciwników niepodległości Algierii?,['OAS'],Słynna osoba lub rzecz to OAS.
Który grecki lekarz jest autorem przysięgi lekarskiej?,['Hipokrates'],Słynna osoba lub rzecz to Hipokrates.
Które państwo ma granice lądowe z Meksykiem i Kanadą?,"['Stany Zjednoczone', 'USA']",Słynna osoba lub rzecz to Stany Zjednoczone.
Jak długo Mefistofeles miał być mężem Pani Twardowskiej?,['rok'],Słynna osoba lub rzecz to rok.
Które państwo toczyło z Chinami wojnę opiumową w latach 1839-42?,['Wielka Brytania'],Słynna osoba lub rzecz to Wielka Brytania.
W którym mieście znajduje się pałac Schönbrunn?,['w Wiedniu'],Zdarzenie miało miejsce w Wiedniu.
W którym wieku odbył się ślub Jadwigi z Władysławem Jagiełłą?,"['w XIV', '14']",Zdarzenie miało miejsce w XIV.
Jakie imię nosił pierwszy antypapież?,['Hipolit'],Słynna osoba lub rzecz to Hipolit.
"Jak nazywała się wyspa, na którą został zesłany Napoleon w 1814 r.?",['Elba'],Słynna osoba lub rzecz to Elba.
Za panowania którego cara wybuchło powstanie styczniowe?,['Aleksandra II'],Słynna osoba lub rzecz to Aleksandra II.
W którym wieku Tamerlan podbił Złotą Ordę?,"['w XIV', '14']",Zdarzenie miało miejsce w XIV.
Jakie barwy widnieją na fladze Izraela?,"['biały i niebieski', 'niebieski i biały']",Słynna osoba lub rzecz to biały i niebieski.
Zły humor jest efektem wstania z łóżka którą nogą?,['lewą'],Słynna osoba lub rzecz to lewą.
Jakie zwierzę widnieje w herbie Berlina?,['niedźwiedź'],Słynna osoba lub rzecz to niedźwiedź.
Co oznacza łacińskie „nolens volens”?,['chcąc nie chcąc'],Słynna osoba lub rzecz to chcąc nie chcąc.
W którym państwie leży miasto Kalkuta?,['w Indiach'],Zdarzenie miało miejsce w Indiach.
"Ile lat według Księgi Rodzaju żył Matuzalem, 699, 969 czy 999 lat?",['969'],Rok wydarzenia to 969.
Która baśń Andersena opisuje dzieciństwo pewnego łabędzia?,['„Brzydkie kaczątko”'],Słynna osoba lub rzecz to „Brzydkie kaczątko”.
Ruchów której figury nie może naśladować szachowy hetman?,['konia'],Słynna osoba lub rzecz to konia.
W którym państwie w XV wieku trwała Wojna Dwóch Róż?,['w Anglii'],Zdarzenie miało miejsce w Anglii.
Który utwór Wyspiańskiego opowiada o ślubie Lucjana Rydla?,['„Wesele”'],Słynna osoba lub rzecz to „Wesele”.
W którym europejskim mieście znajduje się lotnisko Szeremietiewo?,['w Moskwie'],Zdarzenie miało miejsce w Moskwie.
Półwysep Bretoński to najdalej na zachód wysunięta część którego państwa?,['Francji'],Słynna osoba lub rzecz to Francji.
Czy „Pan Tadeusz” był sfilmowany przed II wojną światową?,['tak'],W literaturze Polski odpowiedź jest tak.
Jak nazywa się ochrona prawna państwowych funkcjonariuszy?,['immunitet'],Słynna osoba lub rzecz to immunitet.
Która planeta w Układzie Słonecznym ma najdłuższy okres obrotu wokół własnej osi?,['Wenus'],Słynna osoba lub rzecz to Wenus.
Jak nazywa się pierwsza część modlitwy brewiarzowej?,['Jutrznia'],Słynna osoba lub rzecz to Jutrznia.
Psałterz floriański z przełomu XIV i XV wieku nazywa się psałterzem której królowej Polski?,['królowej Zofii'],Słynna osoba lub rzecz to królowej Zofii.
Zbiory którego muzeum można podziwiać w Pałacu Zimowym w Petersburgu?,['Ermitażu'],Słynna osoba lub rzecz to Ermitażu.
Nad którym oceanem leży stan Kalifornia?,"['nad Oceanem Spokojnym', 'nad Pacyfikiem']",Słynna osoba lub rzecz to nad Oceanem Spokojnym.
Jak nazywamy ministra bez własnego resortu?,['minister bez teki'],Słynna osoba lub rzecz to minister bez teki.
Jak nazywa się pojazd przystosowany do poruszania się na lądzie i wodzie?,['amfibia'],Słynna osoba lub rzecz to amfibia.
Czy w Białowieskim Parku Narodowym żyją wilki?,['tak'],W literaturze Polski odpowiedź jest tak.
W którym wieku powstał Międzynarodowy Czerwony Krzyż?,"['w XIX', '19']",Zdarzenie miało miejsce w XIX.
Kto wynalazł telefon?,['Graham Bell'],Słynna osoba lub rzecz to Graham Bell.
Światowa federacja związków zawodowych powstała przed czy po II wojnie światowej?,['po II wojnie światowej'],Słynna osoba lub rzecz to po II wojnie światowej.
Jak z łaciny nazywa się dobrowolna współpraca z wrogiem na niekorzyść własnego państwa?,['kolaboracja'],Słynna osoba lub rzecz to kolaboracja.
Jak nazywała się latająca wyspa w „Podróżach Guliwera”?,['Laputa'],Słynna osoba lub rzecz to Laputa.
"Kto jest autorem zbioru opowiadań pt. „Cyberiada”, wydanego w 1965 r.?",['Stanisław Lem'],Słynna osoba lub rzecz to Stanisław Lem.
Kto w Chinach zapoczątkował Wielki skok i Wielką Rewolucję Kulturową?,"['Mao Zedong', 'Mao Tse-tung']",Słynna osoba lub rzecz to Mao Zedong.
"Jak nazywał się pułkownik niemieckiego sztabu generalnego, który dokonał zamachu na Hitlera?",['Stauffenberg'],Słynna osoba lub rzecz to Stauffenberg.
Na jakim kontynencie żyli Goci?,['w Europie'],Zdarzenie miało miejsce w Europie.
"Jaka wspólna nazwa obejmuje wyspy Kuba, Haiti, Portoryko, Jamajka?",['Antyle'],Słynna osoba lub rzecz to Antyle.
"On wraca z wojny, a ona w kościele mówi: „ran Twoich niegodnam całować"". Jaki to utwór?",['„Potop”'],Słynna osoba lub rzecz to „Potop”.
Jakie pióro nosi w czapce krakowiak?,['pawie'],Słynna osoba lub rzecz to pawie.
"Alfa, beta, gamma – to początkowe litery którego alfabetu?",['greckiego'],Słynna osoba lub rzecz to greckiego.
Jak nazywa się scena w cyrku?,['arena'],Słynna osoba lub rzecz to arena.
Czy wykrzyknik jest odmienną czy nieodmienną częścią mowy?,['nieodmienną'],Słynna osoba lub rzecz to nieodmienną.
"Na terenie którego państwa leżą miasta Dżajpur, Rajpur i Madras?",['Indii'],Słynna osoba lub rzecz to Indii.
"Brit Awards to nagrody filmowe, muzyczne czy teatralne?",['muzyczne'],Słynna osoba lub rzecz to muzyczne.
W którym mieście stoi Ostra Brama zwana też Bramą Miednicką?,['w Wilnie'],Zdarzenie miało miejsce w Wilnie.
Jak nazywa się proces uznania kogoś błogosławionym w kościele katolickim?,['beatyfikacja'],Słynna osoba lub rzecz to beatyfikacja.
Ile dzieci miał ojciec Wirgiliusz w popularnej dziecięcej zabawie?,['123'],Rok wydarzenia to 123.
Nad którym oceanem leży Salwador?,"['nad Oceanem Spokojnym', 'nad Pacyfikiem']",Słynna osoba lub rzecz to nad Oceanem Spokojnym.
Czego według przysłowia nie czyni jedna jaskółka?,['wiosny'],Słynna osoba lub rzecz to wiosny.
W jaki sposób gramy na altówce – opierając ją o ramię czy o podłogę?,['o ramię'],Słynna osoba lub rzecz to o ramię.
Ile pełnych tygodni ma rok kalendarzowy?,"['52 tygodnie', '52']",Rok wydarzenia to 52 tygodnie.
Czy budowa wieży Babel została ukończona?,['nie'],W literaturze Polski odpowiedź jest nie.
Jak nazywa się najmniejszy oddział artyleryjski składający się z działa i jego obsługi?,['działon'],Słynna osoba lub rzecz to działon.
Reprezentantem którego kierunku w malarstwie był Artur Grottger?,['romantyzmu'],Słynna osoba lub rzecz to romantyzmu.
Z którego państwa pochodzi sangria – napój z czerwonego wina i świeżych owoców?,['z Hiszpanii'],Słynna osoba lub rzecz to z Hiszpanii.
Jak miał na imię marszałek Rydz-Śmigły?,['Edward'],Słynna osoba lub rzecz to Edward.
W którym mieście piłkarze grają na stadionie Santiago Bernabeu?,['w Madrycie'],Zdarzenie miało miejsce w Madrycie.
Jak nazywa się punkt orbity Księżyca znajdujący się najbliżej Ziemi?,"['perigeum', 'perygeum']",Słynna osoba lub rzecz to perigeum.
Jaki kolor ma dziób samca kosa?,['żółty'],Słynna osoba lub rzecz to żółty.
Na którym kontynencie toczyły się tzw. wojny burskie?,['w Afryce'],Zdarzenie miało miejsce w Afryce.
"Kto stoi na czele Pakistanu – premier, prezydent czy król?",['prezydent'],Słynna osoba lub rzecz to prezydent.
Czy Elżbieta II nosiła tytuł cesarzowej Indii?,['nie'],W literaturze Polski odpowiedź jest nie.
W dorzeczu której rzeki leżą rezerwaty: Osowiec i Czerwone?,['Drawy'],Słynna osoba lub rzecz to Drawy.
W którym wieku rządził Bolesław Śmiały?,['w XI'],Zdarzenie miało miejsce w XI.
"Kto musi, kiedy pan każe?",['sługa'],Słynna osoba lub rzecz to sługa.
Jak nazywa się przedsięwzięcie sanitarne mające na celu usunięcie gryzoni?,['deratyzacja'],Słynna osoba lub rzecz to deratyzacja.
Na terenie którego współczesnego państwa powstała cywilizacja Olmeków?,['w Meksyku'],Zdarzenie miało miejsce w Meksyku.
Dzielnicami którego miasta są City i Westminster?,['Londyn'],Słynna osoba lub rzecz to Londyn.
Czy ser cheddar jest serem twardym czy miękkim?,['twardym'],Słynna osoba lub rzecz to twardym.
Z którego kraju wywodziły się tzw. Czerwone Brygady?,['z Włoch'],Słynna osoba lub rzecz to z Włoch.
W którym wieku urodził się Thomas A. Edison?,"['w XIX', '19']",Zdarzenie miało miejsce w XIX.
Czy autostrada A2 przecina Polskę ze wschodu na zachód czy z północy na południe?,['ze wschodu na zachód'],Słynna osoba lub rzecz to ze wschodu na zachód.
Ilu zawodników liczy drużyna hokeja na lodzie?,"['sześciu', '6']",Słynna osoba lub rzecz to sześciu.
Jak brzmi stopień wyższy przysłówka „dobrze”?,['lepiej'],Słynna osoba lub rzecz to lepiej.
Jak nazywa się mocne portugalskie wino od wyspy na Oceanie Atlantyckim?,['madera'],Słynna osoba lub rzecz to madera.
Jak nazywa się miękka czapka męska zakładana do snu?,['szlafmyca'],Słynna osoba lub rzecz to szlafmyca.
Które dwa morza łączy kanał koryncki?,['Egejskie z Jońskim'],Słynna osoba lub rzecz to Egejskie z Jońskim.
Jakiego koloru dziób ma bocian czarny?,['czerwonego'],Słynna osoba lub rzecz to czerwonego.
Jak określamy zdenerwowanie u aktora przed występem scenicznym?,['trema'],Słynna osoba lub rzecz to trema.
Jak nazywał się dowódca obrony Westerplatte?,['Henryk Sucharski'],Słynna osoba lub rzecz to Henryk Sucharski.
W którym mieście znajduje się Teatr Stu?,['Kraków'],Słynna osoba lub rzecz to Kraków.
Jaka jest największa głębokość Bałtyku?,['459 m'],Rok wydarzenia to 459 m.
Jakie amerykańskie miasto leży m.in. na wyspach Staten Island i Long Island?,['Nowy Jork'],Słynna osoba lub rzecz to Nowy Jork.
Czy Kuba jest członkiem ONZ?,['tak'],W literaturze Polski odpowiedź jest tak.
Kto był marszałkiem Sejmu Czteroletniego w chwili uchwalenia Konstytucji 3 Maja?,['Stanisław Małachowski'],Słynna osoba lub rzecz to Stanisław Małachowski.
W której rzece Tetyda wykąpała syna Achillesa?,['w Styksie'],Zdarzenie miało miejsce w Styksie.
Do którego zakonu należał Jakub Wujek?,['jezuitów'],Słynna osoba lub rzecz to jezuitów.
Jak nazywa się uwarunkowany genetycznie brak albo niedobór melaniny?,['albinizm'],Słynna osoba lub rzecz to albinizm.
Jak w podaniach ludowych nazywa się diabeł strażnik skarbów zamku w Łęczycy?,['Boruta'],Słynna osoba lub rzecz to Boruta.
"Jak nazywamy przedstawienie bez słów, gra aktorska wyrażana za pomocą mimiki?",['pantomima'],Słynna osoba lub rzecz to pantomima.
"Jakie imiona nosili władcy hiszpańscy, którzy podpisali edykt wygnania wszystkich Żydów sefardyjskich z Hiszpanii w 1492 r.?",['Izabela Kastylijska i Ferdynand Aragoński'],Słynna osoba lub rzecz to Izabela Kastylijska i Ferdynand Aragoński.
Która soczewka silniej skupia promienie – o krótszej czy o dłuższej ogniskowej?,['o krótszej'],Słynna osoba lub rzecz to o krótszej.
Czy łączna długość kolejki na Kasprowy Wierch przekracza trzy kilometry?,['tak'],W literaturze Polski odpowiedź jest tak.
W jakim mieście dzieje się akcja opery Carmen?,['w Sewilli'],Zdarzenie miało miejsce w Sewilli.
ASEAN to organizacja skupiająca państwa Afryki czy Azji?,['Azji'],Słynna osoba lub rzecz to Azji.
W którym roku Niemcy zaatakowały ZSRR?,['w 1941'],Zdarzenie miało miejsce w 1941.
"Jak miał na imię Chałubiński, lekarz i propagator walorów leczniczych Zakopanego?",['Tytus'],Słynna osoba lub rzecz to Tytus.
Kto w Polsce powołuje sędziów?,['prezydent'],Słynna osoba lub rzecz to prezydent.
"Tę samą nazwę noszą pocisk miotany ręką, kamień półszlachetny i owoc południowy. Jaką?",['granat'],Słynna osoba lub rzecz to granat.
Jak nazywa się ciało niebieskie wysyłające cykliczne impulsy promieniowania?,['pulsar'],Słynna osoba lub rzecz to pulsar.
Który amerykański dziennik upublicznił aferę Watergate?,['Washington Post'],Słynna osoba lub rzecz to Washington Post.
Ile wynosi limit prędkości na autostradach w Polsce?,['140 km/h'],Rok wydarzenia to 140 km/h.
Kiedy powstał w Nowym Jorku wieżowiec Chryslera: przed I wojną światową czy po niej?,['po I wojnie światowej'],Słynna osoba lub rzecz to po I wojnie światowej.
MI6 i MI5 to wywiad i kontrwywiad którego państwa?,['Wielkiej Brytanii'],Słynna osoba lub rzecz to Wielkiej Brytanii.
"Jakiej narodowości był Ferenc Molnar, autor „Chłopców z Placu Broni”?",['był Węgrem'],Słynna osoba lub rzecz to był Węgrem.
Jak nazywa się format zapisu optycznego wykorzystujący niebieski laser?,['Blu-ray'],Słynna osoba lub rzecz to Blu-ray.
Na ile części podzielone jest pionowo tzw. okno weneckie?,"['trzy', '3']",Słynna osoba lub rzecz to trzy.
Jak nazywa się niższa izba brytyjskiego parlamentu?,['Izba Gmin'],Słynna osoba lub rzecz to Izba Gmin.
Kto wcielił się w rolę Wołodyjowskiego w „Ogniem i mieczem” Hoffmanna?,['Zbigniew Zamachowski'],Słynna osoba lub rzecz to Zbigniew Zamachowski.
Z którego kontynentu pochodzą Tuaregowie?,['z Afryki'],Słynna osoba lub rzecz to z Afryki.
Czy magazyn National Geographic ukazuje się po polsku?,['tak'],W literaturze Polski odpowiedź jest tak.
Z iloma państwami graniczy Mongolia?,"['z dwoma', '2']",Słynna osoba lub rzecz to z dwoma.
"Może być szkolna, rejestracyjna, Mendelejewa?",['tablica'],Słynna osoba lub rzecz to tablica.
Czego pełen był czwarty wagon w wierszu Juliana Tuwima?,['bananów'],Słynna osoba lub rzecz to bananów.
Ile dzieci ma Lech Wałęsa?,['ośmioro'],Słynna osoba lub rzecz to ośmioro.
W którym roku została stoczona bitwa pod Borodino?,['w 1812'],Zdarzenie miało miejsce w 1812.
Które europejskie państwo ma najniższą gęstość zaludnienia?,['Islandia'],Słynna osoba lub rzecz to Islandia.
Jak nazywa się lampa błyskowa aparatu?,"['flash', 'flesz']",Słynna osoba lub rzecz to flash.
Czy wazelina rozpuszcza się w wodzie?,['nie'],W literaturze Polski odpowiedź jest nie.
Jaką nazwę nosi cykl trzech utworów literackich?,['trylogia'],Słynna osoba lub rzecz to trylogia.
"Jak miał na imię baśniowy żeglarz, którego przygody opisał m.in. Bolesław Leśmian?",['Sindbad'],Słynna osoba lub rzecz to Sindbad.
Ile przekątnych w prostokącie można poprowadzić z jednego wierzchołka?,"['jedną', '1']",Słynna osoba lub rzecz to jedną.
Czy Han Solo był rycerzem Jedi?,['nie'],W literaturze Polski odpowiedź jest nie.
Zaprzysiężenie którego prezydenta zakończyło misję rządu na uchodźstwie?,['Lecha Wałęsy'],Słynna osoba lub rzecz to Lecha Wałęsy.
Ile języków urzędowych obowiązuje w RPA?,"['jedenaście', '11']",Słynna osoba lub rzecz to jedenaście.
Który król założył Akademię Szlacheckiego Korpusu Kadetów?,['Stanisław August Poniatowski'],Słynna osoba lub rzecz to Stanisław August Poniatowski.
"Czym było zwieńczone jabłko, symbol władzy królewskiej?",['krzyżem'],Słynna osoba lub rzecz to krzyżem.
W którym wieku żył Seneka Młodszy?,"['w I', '1']",Zdarzenie miało miejsce w I.
Jak nazywa się 1/100 euro?,"['cent', 'eurocent']",Słynna osoba lub rzecz to cent.
Stolicą którego państwa jest Nairobi?,['Kenii'],Słynna osoba lub rzecz to Kenii.
W którym mieście dzieje się akcja powieści „Dżuma” Alberta Camusa?,['w Oranie'],Zdarzenie miało miejsce w Oranie.
Kontrakt brydżowy zapowiadający wzięcie dwunastu lew nazywamy to inaczej...?,['mały szlem'],Słynna osoba lub rzecz to mały szlem.
Kto oprócz zawodników znajduje się na ringu bokserskim?,['sędzia'],Słynna osoba lub rzecz to sędzia.
W których górach mieści się szczyt Chryszczata?,['w Bieszczadach'],Zdarzenie miało miejsce w Bieszczadach.
Jaki kształt ma litera grecka delta?,['trójkąta'],Słynna osoba lub rzecz to trójkąta.
Kto skomponował utwór orkiestrowy „Tren ofiarom Hiroszimy”?,['Krzysztof Penderecki'],Słynna osoba lub rzecz to Krzysztof Penderecki.
Jak nazywa się cześć szkieletu chroniąca rdzeń kręgowy?,['kręgosłup'],Słynna osoba lub rzecz to kręgosłup.
W którym europejskim państwie leży Grenoble?,['we Francji'],Zdarzenie miało miejsce we Francji.
W którym państwie znajduje się jaskinia z malowidłami z paleolitu Altamira?,['w Hiszpanii'],Zdarzenie miało miejsce w Hiszpanii.
Czy juwenalia i juwenilia mają to samo znaczenie?,['nie'],W literaturze Polski odpowiedź jest nie.
W którym państwie jest nadawany Order Narodowy Legii Honorowej?,['we Francji'],Zdarzenie miało miejsce we Francji.
Jak nazywa się największy port w Europie?,['Rotterdam'],Słynna osoba lub rzecz to Rotterdam.
Jak miał na imię włoski skrzypek Paganini?,['Niccolò'],Słynna osoba lub rzecz to Niccolò.
Kto zagrał tytułową rolę w komedii Kiler?,['Cezary Pazura'],Słynna osoba lub rzecz to Cezary Pazura.
Według przysłowia – odejść niczego nie załatwiwszy to odejść z...?,['kwitkiem'],Słynna osoba lub rzecz to kwitkiem.
Czy Watykan posiada własną rozgłośnię radiową?,['tak'],W literaturze Polski odpowiedź jest tak.
Jakie imię nadał Bóg Jakubowi?,['Izrael'],Słynna osoba lub rzecz to Izrael.
W którym wieku żył Ludwik Waryński?,"['w XIX', '19']",Zdarzenie miało miejsce w XIX.
Kto jest głową Australii?,"['Elżbieta II', 'królowa brytyjska']",Słynna osoba lub rzecz to Elżbieta II.
Na ile stref czasowych podzielona jest kula ziemska?,['na 24'],Rok wydarzenia to na 24.
Ile razy w wyścigu pokoju triumfował Zdzisław Szurkowski?,"['cztery', '4']",Słynna osoba lub rzecz to cztery.
Kto jest głową państwa w Szwecji?,"['król', 'Karol XVI Gustaw']",Słynna osoba lub rzecz to król.
W którym mieście znajduje się kopalnia Wujek?,['w Katowicach'],Zdarzenie miało miejsce w Katowicach.
"Czym rozcieńczamy rum, aby powstał grog?",['gorącą wodą'],Słynna osoba lub rzecz to gorącą wodą.
Jak nazywa się miejscowość w województwie lubelskim słynna z hodowli koni czystej krwi arabskiej?,['Janów Podlaski'],Słynna osoba lub rzecz to Janów Podlaski.
"Jak nazywa się astronom niemiecki, który skonstruował trzy prawa ruchu planet?","['Jan Kepler', 'Johannes Kepler']",Słynna osoba lub rzecz to Jan Kepler.
Jak nazywał się adiutant Józefa Piłsudskiego?,['Bolesław Wieniawa-Długoszowski'],Słynna osoba lub rzecz to Bolesław Wieniawa-Długoszowski.
W której europejskiej stolicy znajduje się plac Piccadilly Circus?,['w Londynie'],Zdarzenie miało miejsce w Londynie.
Jaki tytuł nadawany był synom królewskim w Hiszpanii i Portugalii?,['infant'],Słynna osoba lub rzecz to infant.
Który holenderski malarz namalował obraz „Jedzący kartofle”?,['Vincent van Gogh'],Słynna osoba lub rzecz to Vincent van Gogh.
Czy hetmani polscy i litewscy mianowani przez króla dowodzili także pospolitym ruszeniem?,['nie'],W literaturze Polski odpowiedź jest nie.
Groszek ptysiowy to roślina czy wypiek?,['wypiek'],Słynna osoba lub rzecz to wypiek.
Na którym kontynencie żyje guziec?,['w Afryce'],Zdarzenie miało miejsce w Afryce.
